Latitude,Longitude,Injury.Severity,Make,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,State_Code,Year,Month,Day_Of_Week,Large_Jets,Small_Jets,Major_Injuries
261150N,0801014W,Non-Fatal,Textron,2.0,Reciprocating,Positioning,0.0,0.0,0.0,1.0,FL,2013.0,4.0,Monday,Other,Other,0.0
433831N,0116389W,Non-Fatal,Aeronca,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,ID,2013.0,4.0,Wednesday,Other,Other,0.0
039403N,0744528W,Non-Fatal,Textron,2.0,Reciprocating,Personal,0.0,1.0,0.0,1.0,NJ,2013.0,4.0,Friday,Other,Other,1.0
032194N,0884523W,Non-Fatal,Embraer,2.0,Turbo Fan,Positioning,0.0,0.0,0.0,1.0,MS,2013.0,4.0,Friday,Other,Other,0.0
036480N,0115180W,Non-Fatal,Airbus,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,192.0,NV,2013.0,4.0,Friday,Other,Other,0.0
474419N,1055541W,Fatal,Textron,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,MT,2013.0,4.0,Saturday,Other,Other,1.0
341550N,1165122W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,3.0,1.0,0.0,CA,2013.0,4.0,Saturday,Other,Other,3.0
354542N,0115392W,Non-Fatal,Socata,1.0,Turbo Prop,Personal,0.0,0.0,0.0,2.0,NV,2013.0,4.0,Saturday,Other,Other,0.0
362155N,0955028W,Fatal,Mooney,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,OK,2013.0,4.0,Sunday,Other,Other,2.0
037290N,0080559W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VA,2013.0,4.0,Sunday,Other,Other,0.0
046135N,1163831W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,ID,2013.0,4.0,Sunday,Other,Other,0.0
292844N,0951935W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,3.0,0.0,0.0,TX,2013.0,4.0,Monday,Other,Other,3.0
046715N,1145538W,Non-Fatal,Piper,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,ID,2013.0,4.0,Tuesday,Other,Other,0.0
375412N,1174046W,Non-Fatal,Cirrus Design Corp,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,NV,2013.0,4.0,Wednesday,Other,Other,0.0
034057N,0118274W,Non-Fatal,Textron,2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,CA,2013.0,4.0,Friday,Other,Other,0.0
323751N,0110383W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,AZ,2013.0,4.0,Saturday,Other,Other,0.0
381332N,0805214W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,1.0,0.0,1.0,WV,2013.0,4.0,Saturday,Other,Other,1.0
