Investigation.Type,Accident.Number,Event.Date,Location,Latitude,Longitude,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Purpose.of.flight,Air.carrier,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Day_Of_Week,State_Code,new_lats,new_longs,Year,Month,Large_Jets,Small_Jets,Major_Injuries
Accident,CEN16LA283,2016-07-24,"Oshkosh, WI",435740N,0883325W,OSH,Witmann Regional Airport,Non-Fatal,Substantial,Bristell,E-LSA,No,1.0,Reciprocating,091,Business,"Sport Flying USA, Inc.",0.0,0.0,1.0,0.0,VMC,Sunday,WI,43.961111111111116,-88.55694444444444,2016.0,7.0,Other,Other,0.0
Accident,CEN16FA282,2016-07-24,"Leshara, NE",411957N,0962619W,,,Fatal,Substantial,Textron,95 B55 (T42A),No,2.0,Reciprocating,091,Personal,LeMay Aero Club,2.0,0.0,0.0,0.0,VMC,Sunday,NE,41.3325,-96.43861111111111,2016.0,7.0,Other,Textron,2.0
Accident,GAA16CA389,2016-07-24,"Hyannis, MA",413956N,0701653W,HYA,BARNSTABLE MUNI-BOARDMAN/POLAN,Non-Fatal,Substantial,Cirrus,SR22,No,1.0,Reciprocating,091,Personal,Unknown,0.0,2.0,0.0,2.0,VMC,Sunday,MA,41.66555555555556,-70.28138888888888,2016.0,7.0,Other,Other,2.0
Accident,GAA16CA426,2016-07-24,"Cordova, SC",331348N,0803224W,,,Non-Fatal,Substantial,American Champion,8KCAB,No,1.0,Reciprocating,091,Personal,FLYING FUN & COMPANY,0.0,0.0,0.0,1.0,VMC,Sunday,SC,33.230000000000004,-80.53999999999999,2016.0,7.0,Other,Other,0.0
Accident,ERA16FA269,2016-07-25,"West Mifflin, PA",402120N,0795557W,AGC,ALLEGHENY COUNTY,Fatal,Substantial,Yakovlev,YAK11,No,1.0,Reciprocating,091,Personal,Unknown,1.0,0.0,0.0,0.0,VMC,Monday,PA,40.355555555555554,-79.9325,2016.0,7.0,Other,Other,1.0
Accident,GAA16CA393,2016-07-25,"What Cheer, IA",412540N,0922240W,,,Non-Fatal,Substantial,Textron,188,No,1.0,Reciprocating,091,Personal,Unknown,0.0,0.0,0.0,1.0,VMC,Monday,IA,41.42777777777778,-92.37777777777777,2016.0,7.0,Other,Textron,0.0
Accident,CEN16FA286,2016-07-26,"Sugar Land, TX",029381N,0953928W,SGR,Sugar Land Regional,Non-Fatal,Substantial,Embraer,EMB-505,No,2.0,Turbo Fan,135,Unknown,Flight Options LLC,0.0,2.0,0.0,1.0,VMC,Tuesday,TX,3.5725,-95.65777777777778,2016.0,7.0,Embraer,Other,2.0
Accident,DCA16CA208,2016-07-26,"Cleveland, OH",412434N,0815117W,KCLE,Cleveland-Hopkins Internationa,Non-Fatal,Unknown,Embraer,ERJ 170 100 SE,No,2.0,Turbo Fan,121,Unknown,Republic Airways Holdings,0.0,0.0,1.0,52.0,VMC,Tuesday,OH,41.409444444444446,-81.85472222222222,2016.0,7.0,Embraer,Other,0.0
Accident,WPR16FA152,2016-07-27,"Columbia, CA",038137N,1202446W,O22,COLUMBIA,Fatal,Substantial,Textron,310B,No,2.0,Reciprocating,091,Personal,Unknown,4.0,0.0,0.0,0.0,VMC,Wednesday,CA,4.360277777777777,-120.41277777777778,2016.0,7.0,Other,Textron,4.0
Accident,GAA16CA394,2016-07-27,"Alamosa, CO",372845N,1053756W,2CO2,LAS ARENAS EARTH AND SKY OBSER,Non-Fatal,Substantial,Alon,A2,No,1.0,Reciprocating,091,Personal,Unknown,0.0,0.0,0.0,1.0,VMC,Wednesday,CO,37.47916666666667,-105.63222222222221,2016.0,7.0,Other,Other,0.0
Accident,GAA16CA398,2016-07-27,"Denton, TX",033125N,0971153W,DTO,DENTON ENTERPRISE,Non-Fatal,Substantial,Textron,152,No,1.0,Reciprocating,091,Personal,Unknown,0.0,0.0,0.0,1.0,VMC,Wednesday,TX,3.5236111111111112,-97.19805555555556,2016.0,7.0,Other,Textron,0.0
Accident,CEN16FA290,2016-07-28,"Fond du Lac, WI",434648N,0882920W,FLD,FOND DU LAC COUNTY,Fatal,Substantial,Flight Design,CTLS,No,1.0,Reciprocating,091,Personal,Unknown,1.0,0.0,1.0,0.0,VMC,Thursday,WI,43.78,-88.4888888888889,2016.0,7.0,Other,Other,1.0
Accident,CEN16FA295,2016-07-28,"Holmen, WI",435844N,0911249W,LSE,La Crosse Regional Airport,Fatal,Destroyed,Mooney,M20J,No,1.0,Reciprocating,091,Personal,Pilot,1.0,0.0,0.0,0.0,IMC,Thursday,WI,43.97888888888889,-91.21361111111112,2016.0,7.0,Other,Other,1.0
Accident,GAA16CA402,2016-07-28,"Henderson, NV",355844N,0115759W,HND,HENDERSON EXECUTIVE,Non-Fatal,Substantial,Cirrus,SR,No,1.0,Reciprocating,091,Personal,KCB Air LLC.,0.0,0.0,0.0,3.0,VMC,Thursday,NV,35.97888888888889,-11.966388888888888,2016.0,7.0,Other,Other,0.0
